solver,puzzle_id,status,solve_time,propagations
DPLL,sudoku_25x25_Extremely Easy_20241212_223200_puzzle,unsat,0.21059656143188477,190489
DPLL,sudoku_25x25_Extremely Easy_20241212_223508_puzzle,sat,0.21408605575561523,190608
DPLL,sudoku_25x25_Extremely Easy_20241212_223405_puzzle,unsat,0.21282124519348145,190600
DPLL,sudoku_25x25_Extremely Easy_20241212_223535_puzzle,sat,0.2170853614807129,190516
DPLL,sudoku_25x25_Difficult_20241212_225213_puzzle,sat,0.2170264720916748,190544
DPLL,sudoku_25x25_Extremely Easy_20241212_223447_puzzle,sat,0.21201300621032715,190582
DPLL,sudoku_25x25_Easy_20241212_223849_puzzle,sat,0.2151632308959961,190580
DPLL,sudoku_25x25_Extremely Easy_20241212_223529_puzzle,unsat,0.22618961334228516,190531
DPLL,sudoku_25x25_Easy_20241212_223724_puzzle,sat,0.22699189186096191,190530
DPLL,sudoku_25x25_Difficult_20241212_225104_puzzle,sat,0.2141866683959961,190552
DPLL,sudoku_25x25_Difficult_20241212_225210_puzzle,unsat,0.2206730842590332,190508
DPLL,sudoku_25x25_Easy_20241212_223548_puzzle,unsat,0.21480965614318848,190620
DPLL,sudoku_25x25_Medium_20241212_224256_puzzle,unsat,0.2372739315032959,190484
DPLL,sudoku_25x25_Evil_20241212_230353_puzzle,unsat,0.21088647842407227,190619
DPLL,sudoku_25x25_Evil_20241212_225813_puzzle,unsat,0.2280571460723877,190545
DPLL,sudoku_25x25_Easy_20241212_223552_puzzle,unsat,0.21391725540161133,190623
DPLL,sudoku_25x25_Medium_20241212_224259_puzzle,unsat,0.225266695022583,190548
DPLL,sudoku_25x25_Easy_20241212_224105_puzzle,unsat,0.21804404258728027,190508
DPLL,sudoku_25x25_Medium_20241212_224843_puzzle,sat,1.202775239944458,190437
DPLL,sudoku_25x25_Easy_20241212_223933_puzzle,unsat,0.22442197799682617,190542
DPLL,sudoku_25x25_Medium_20241212_224534_puzzle,sat,0.2110280990600586,190540
DPLL,sudoku_25x25_Difficult_20241212_225013_puzzle,sat,0.2329862117767334,190551
DPLL,sudoku_25x25_Difficult_20241212_225109_puzzle,unsat,0.21879982948303223,190552
DPLL,sudoku_25x25_Evil_20241212_225807_puzzle,unsat,0.21757984161376953,190493
DPLL,sudoku_25x25_Medium_20241212_224238_puzzle,unsat,0.21320414543151855,190546
DPLL,sudoku_25x25_Evil_20241212_230319_puzzle,unsat,0.22205138206481934,190506
DPLL,sudoku_25x25_Extremely Easy_20241212_223331_puzzle,sat,0.21610307693481445,190603
DPLL,sudoku_25x25_Extremely Easy_20241212_223506_puzzle,sat,14.358541250228882,190404
DPLL,sudoku_25x25_Easy_20241212_223757_puzzle,sat,0.40821075439453125,190481
DPLL,sudoku_25x25_Medium_20241212_224845_puzzle,unsat,0.21720528602600098,190562
DPLL,sudoku_25x25_Easy_20241212_223940_puzzle,unsat,0.21299028396606445,190503
DPLL,sudoku_25x25_Easy_20241212_224009_puzzle,unsat,0.21445012092590332,190589
DPLL,sudoku_25x25_Extremely Easy_20241212_223333_puzzle,sat,0.2481553554534912,190511
DPLL,sudoku_25x25_Easy_20241212_223857_puzzle,sat,0.22472620010375977,190610
DPLL,sudoku_25x25_Evil_20241212_230439_puzzle,timeout,30,0
DPLL,sudoku_25x25_Difficult_20241212_225019_puzzle,unsat,0.21063470840454102,190570
DPLL,sudoku_25x25_Easy_20241212_223930_puzzle,unsat,0.21418356895446777,190614
DPLL,sudoku_25x25_Evil_20241212_225928_puzzle,unsat,0.2148120403289795,190491
DPLL,sudoku_25x25_Extremely Easy_20241212_223455_puzzle,sat,1.8394098281860352,190434
DPLL(T),sudoku_25x25_Extremely Easy_20241212_223411_puzzle,sat,0.47147488594055176,190458
